area,stories,price
7420,3,13300000
8960,4,12250000
9960,2,12250000
7500,2,12215000
7420,2,11410000
7500,1,10850000
8580,4,10150000
16200,2,10150000
8100,2,9870000
5750,4,9800000
13200,2,9800000
6000,2,9681000
6550,2,9310000
3500,2,9240000
7800,2,9240000
6000,2,9100000
6600,2,9100000
8500,4,8960000
4600,2,8890000
6420,2,8855000
4320,2,8750000
7155,1,8680000
8050,1,8645000
4560,2,8645000
8800,2,8575000
6540,2,8540000
6000,4,8463000
8875,1,8400000
7950,2,8400000
5500,2,8400000
7475,4,8400000
7000,4,8400000
4880,2,8295000
5960,2,8190000
6840,2,8120000
7000,4,8080940
7482,3,8043000
9000,4,7980000
6000,4,7962500
6000,4,7910000
6550,2,7875000
6360,4,7840000
6480,4,7700000
6000,4,7700000
6000,4,7560000
6000,3,7560000
6000,4,7525000
6600,4,7490000
4300,2,7455000
7440,1,7420000
7440,4,7420000
6325,4,7420000
6000,4,7350000
5150,4,7350000
6000,2,7350000
6000,2,7350000
11440,2,7343000
9000,4,7245000
7680,4,7210000
6000,4,7210000
6000,2,7140000
8880,1,7070000
6240,2,7070000
6360,3,7035000
11175,1,7000000
8880,2,6930000
13200,1,6930000
7700,1,6895000
6000,1,6860000
12090,2,6790000
4000,2,6790000
6000,4,6755000
5020,4,6720000
6600,4,6685000
4040,2,6650000
4260,2,6650000
6420,3,6650000
6500,3,6650000
5700,1,6650000
6000,3,6650000
6000,2,6629000
4000,2,6615000
10500,1,6615000
6000,4,6580000
3760,2,6510000
8250,3,6510000
6670,3,6510000
3960,1,6475000
7410,1,6475000
8580,2,6440000
5000,2,6440000
6750,1,6419000
4800,4,6405000
7200,1,6300000
6000,4,6300000
4100,3,6300000
9000,1,6300000
6400,1,6300000
6600,3,6293000
6000,3,6265000
6600,1,6230000
5500,3,6230000
5500,4,6195000
6350,3,6195000
5500,1,6195000
4500,4,6160000
5450,1,6160000
6420,3,6125000
3240,3,6107500
6615,2,6090000
6600,1,6090000
8372,3,6090000
4300,2,6083000
9620,1,6083000
6800,1,6020000
8000,1,6020000
6900,1,6020000
3700,2,5950000
6420,1,5950000
7020,1,5950000
6540,1,5950000
7231,2,5950000
6254,1,5950000
7320,2,5950000
6525,4,5950000
15600,1,5943000
7160,1,5880000
6500,3,5880000
5500,3,5873000
11460,3,5873000
4800,1,5866000
5828,4,5810000
5200,3,5810000
4800,3,5810000
7000,1,5803000
6000,4,5775000
5400,2,5740000
4640,2,5740000
5000,3,5740000
6360,1,5740000
5800,4,5740000
6660,2,5652500
10500,2,5600000
4800,3,5600000
4700,2,5600000
5000,4,5600000
10500,1,5600000
5500,2,5600000
6360,3,5600000
6600,1,5600000
5136,2,5600000
4400,2,5565000
5400,2,5565000
3300,2,5530000
3650,2,5530000
6100,1,5530000
6900,1,5523000
2817,2,5495000
7980,1,5495000
3150,1,5460000
6210,4,5460000
6100,3,5460000
6600,2,5460000
6825,1,5425000
6710,2,5390000
6450,1,5383000
7800,1,5320000
4600,1,5285000
4260,2,5250000
6540,2,5250000
5500,1,5250000
10269,1,5250000
8400,2,5250000
5300,1,5250000
3800,2,5250000
9800,2,5250000
8520,1,5250000
6050,1,5243000
7085,1,5229000
3180,2,5215000
4500,1,5215000
7200,2,5215000
3410,2,5145000
7980,1,5145000
3000,2,5110000
3000,2,5110000
11410,2,5110000
6100,1,5110000
5720,2,5075000
3540,1,5040000
7600,2,5040000
10700,2,5040000
6600,1,5040000
4800,1,5033000
8150,1,5005000
4410,2,4970000
7686,1,4970000
2800,2,4956000
5948,2,4935000
4200,2,4907000
4520,2,4900000
4095,2,4900000
4120,1,4900000
5400,2,4900000
4770,1,4900000
6300,1,4900000
5800,1,4900000
3000,2,4900000
2970,3,4900000
6720,1,4900000
4646,2,4900000
12900,1,4900000
3420,2,4893000
4995,1,4893000
4350,1,4865000
4160,3,4830000
6040,1,4830000
6862,2,4830000
4815,1,4830000
7000,2,4795000
8100,4,4795000
3420,2,4767000
9166,1,4760000
6321,2,4760000
10240,1,4760000
6440,1,4753000
5170,4,4690000
6000,1,4690000
3630,2,4690000
9667,2,4690000
5400,2,4690000
4320,1,4690000
3745,2,4655000
4160,1,4620000
3880,2,4620000
5680,2,4620000
2870,2,4620000
5010,2,4620000
4510,2,4613000
4000,2,4585000
3840,2,4585000
3760,1,4550000
3640,2,4550000
2550,2,4550000
5320,2,4550000
5360,2,4550000
3520,1,4550000
8400,4,4550000
4100,1,4543000
4990,2,4543000
3510,3,4515000
3450,2,4515000
9860,1,4515000
3520,2,4515000
4510,2,4480000
5885,1,4480000
4000,2,4480000
8250,1,4480000
4040,2,4480000
6360,1,4473000
3162,2,4473000
3510,2,4473000
3750,1,4445000
3968,2,4410000
4900,2,4410000
2880,2,4403000
4880,1,4403000
4920,2,4403000
4950,2,4382000
3900,2,4375000
4500,3,4340000
1905,2,4340000
4075,1,4340000
3500,2,4340000
6450,2,4340000
4032,1,4319000
4400,1,4305000
10360,1,4305000
3400,2,4277000
6360,1,4270000
6360,2,4270000
4500,1,4270000
2175,2,4270000
4360,2,4270000
7770,1,4270000
6650,2,4235000
2787,1,4235000
5500,2,4200000
5040,2,4200000
5850,1,4200000
2610,2,4200000
2953,2,4200000
2747,2,4200000
4410,1,4200000
4000,2,4200000
2325,2,4200000
4600,2,4200000
3640,2,4200000
5800,1,4200000
7000,1,4200000
4079,3,4200000
3520,2,4200000
2145,3,4200000
4500,1,4200000
8250,1,4193000
3450,2,4193000
4840,2,4165000
4080,2,4165000
4046,2,4165000
4632,2,4130000
5985,1,4130000
6060,1,4123000
3600,1,4098500
3680,2,4095000
4040,2,4095000
5600,1,4095000
5900,2,4060000
4992,2,4060000
4340,1,4060000
3000,3,4060000
4320,2,4060000
3630,2,4025000
3460,1,4025000
5400,1,4025000
4500,2,4007500
3460,2,4007500
4100,1,3990000
6480,2,3990000
4500,2,3990000
3960,2,3990000
4050,2,3990000
7260,1,3920000
5500,2,3920000
3000,2,3920000
3290,1,3920000
3816,1,3920000
8080,1,3920000
2145,1,3920000
3780,2,3885000
3180,2,3885000
5300,2,3850000
3180,1,3850000
7152,2,3850000
4080,1,3850000
3850,1,3850000
2015,2,3850000
2176,2,3850000
3350,2,3836000
3150,1,3815000
4820,2,3780000
3420,2,3780000
3600,1,3780000
5830,1,3780000
2856,3,3780000
8400,1,3780000
8250,1,3773000
2520,1,3773000
6930,2,3773000
3480,1,3745000
3600,1,3710000
4040,1,3710000
6020,1,3710000
4050,1,3710000
3584,1,3710000
3120,2,3703000
5450,1,3703000
3630,1,3675000
3630,1,3675000
5640,1,3675000
3600,1,3675000
4280,1,3640000
3570,2,3640000
3180,2,3640000
3000,2,3640000
3520,1,3640000
5960,2,3640000
4130,2,3640000
2850,2,3640000
2275,3,3640000
3520,1,3633000
4500,1,3605000
4000,1,3605000
3150,2,3570000
4500,2,3570000
4500,1,3570000
3640,1,3570000
3850,1,3535000
4240,2,3500000
3650,2,3500000
4600,2,3500000
2135,2,3500000
3036,2,3500000
3990,2,3500000
7424,1,3500000
3480,1,3500000
3600,2,3500000
3640,1,3500000
5900,1,3500000
3120,2,3500000
7350,1,3500000
3512,1,3500000
9500,2,3500000
5880,1,3500000
12944,1,3500000
4900,2,3493000
3060,1,3465000
5320,1,3465000
2145,3,3465000
4000,1,3430000
3185,1,3430000
3850,1,3430000
2145,3,3430000
2610,2,3430000
1950,2,3430000
4040,1,3423000
4785,2,3395000
3450,1,3395000
3640,1,3395000
3500,2,3360000
4960,3,3360000
4120,2,3360000
4750,1,3360000
3720,1,3360000
3750,1,3360000
3100,2,3360000
3185,1,3360000
2700,1,3353000
2145,2,3332000
4040,1,3325000
4775,2,3325000
2500,1,3290000
3180,2,3290000
6060,1,3290000
3480,2,3290000
3792,2,3290000
4040,1,3290000
2145,2,3290000
5880,1,3290000
4500,1,3255000
3930,1,3255000
3640,2,3234000
4370,2,3220000
2684,1,3220000
4320,1,3220000
3120,2,3220000
3450,1,3150000
3986,1,3150000
3500,1,3150000
4095,1,3150000
1650,2,3150000
3450,2,3150000
6750,1,3150000
9000,2,3150000
3069,1,3150000
4500,2,3143000
5495,1,3129000
2398,1,3118850
3000,1,3115000
3850,2,3115000
3500,1,3115000
8100,1,3087000
4960,1,3080000
2160,2,3080000
3090,1,3080000
4500,2,3080000
3800,1,3045000
3090,2,3010000
3240,2,3010000
2835,1,3010000
4600,1,3010000
5076,1,3010000
3750,2,3010000
3630,2,3010000
8050,1,3003000
4352,2,2975000
3000,2,2961000
5850,2,2940000
4960,1,2940000
3600,2,2940000
3660,2,2940000
3480,2,2940000
2700,1,2940000
3150,2,2940000
6615,2,2940000
3040,1,2870000
3630,1,2870000
6000,1,2870000
5400,2,2870000
5200,3,2852500
3300,2,2835000
4350,2,2835000
2640,1,2835000
2650,2,2800000
3960,1,2800000
6800,1,2730000
4000,2,2730000
4000,1,2695000
3934,1,2660000
2000,2,2660000
3630,2,2660000
2800,1,2660000
2430,1,2660000
3480,1,2660000
4000,1,2660000
3185,1,2653000
4000,2,2653000
2910,1,2604000
3600,1,2590000
4400,1,2590000
3600,2,2590000
2880,1,2520000
3180,1,2520000
3000,2,2520000
4400,2,2485000
3000,2,2485000
3210,2,2450000
3240,1,2450000
3000,1,2450000
3500,1,2450000
4840,2,2450000
7700,1,2450000
3635,1,2408000
2475,2,2380000
2787,2,2380000
3264,1,2380000
3640,1,2345000
3180,1,2310000
1836,1,2275000
3970,1,2275000
3970,2,2275000
1950,1,2240000
